Date,Open-amzn,High-amzn,Low-amzn,Close-amzn,Adj Close-amzn,Volume-amzn,SMA-7,SMA-21,SMA-90,Change,% Change,Gain,Loss,Average Gain,Average Loss,RS,RSI-14 Day,TR,DM+1,DM-1,TR-14,DM+1-14,DM-1+14,dl+1-14,dl-1-14,dl14diff,dl14sum,DX,ADX
3/25/19,1757.790039,1782.680054,1747.5,1774.26001,1774.26001,5103800,1767.417149,1696.143811,1626.236335,9.48999,0.537746556,9.48999,0,14.23239396,8.434646411,1.687372922,62.78893816,35.180054,0,15.609985,515.110231,201.030029,142.220093,39.0266038,27.60964245,11.41696135,66.63624625,17.13326004,21.21672607
3/26/19,1793,1805.77002,1773.359985,1783.76001,1783.76001,4865900,1777.617153,1703.322859,1627.868669,9.5,0.535434488,9.5,0,13.89436582,7.832171667,1.77401191,63.9511281,32.410035,23.089966,0,518.050295,224.119995,121.490112,43.26220777,23.45141257,19.8107952,66.71362034,29.69527827,22.180914
3/27/19,1784.130005,1787.5,1745.680054,1765.699951,1765.699951,4324800,1780.981428,1709.479998,1629.363445,-18.060059,-1.012471347,0,18.060059,12.90191112,8.562735048,1.506751178,60.10772793,41.819946,0,27.679931,510.630251,224.119995,101.400024,43.89085734,19.85781763,24.03303971,63.74867497,37.6996694,24.41060382
3/28/19,1770,1777.930054,1753.469971,1773.420044,1773.420044,3043000,1782.634295,1715.78143,1631.301335,7.720093,0.437225645,7.720093,0,12.53178125,7.951111116,1.576104405,61.18169752,24.460083,0,0,495.710329,224.119995,67.45996,45.21188724,13.60874609,31.60314116,58.82063333,53.72798518,27.65177181
3/29/19,1786.579956,1792.859985,1776.630005,1780.75,1780.75,3320800,1780.274292,1722.491909,1633.093669,7.329956,0.413323173,7.329956,0,12.16022231,7.383174608,1.647018113,62.2216412,19.439941,14.929931,0,463.66028,189.479858,67.45996,40.86609662,14.54943693,26.31665969,55.41553355,47.48968025,30.39716633
4/1/19,1800.109985,1815.670044,1798.72998,1814.189941,1814.189941,4238800,1779.549997,1729.275716,1635.546779,33.439941,1.877857139,33.439941,0,13.68020221,6.855804993,1.995418806,66.61568666,34.920044,22.810059,0,475.290284,200.309936,67.45996,42.14475716,14.1934229,27.95133426,56.33818006,49.61348456,33.04496697
4/2/19,1811.02002,1820,1805.119995,1813.97998,1813.97998,3448100,1786.579991,1734.885713,1638.898889,-0.209961,-0.011573264,0,0.209961,12.70304491,6.38110185,1.990729064,66.56333694,14.880005,4.329956,0,463.270265,188.909912,67.45996,40.77747403,14.56168571,26.21578832,55.33915975,47.37294248,34.94758891
4/3/19,1826.719971,1830,1809.619995,1820.699951,1820.699951,3980600,1793.214268,1740.993804,1642.512667,6.719971,0.370454529,6.719971,0,12.27568249,5.925308861,2.07173715,67.44513117,20.380005,10,0,465.990236,196.909912,67.45996,42.25623131,14.47668959,27.77954172,56.7329209,48.96547062,37.15024747
4/4/19,1820.650024,1828.75,1804.199951,1818.859985,1818.859985,3623900,1798.22855,1748.132377,1645.869667,-1.839966,-0.101058167,0,1.839966,11.39884803,5.633498657,2.023404765,66.92470649,24.550049,0,5.420044,457.960207,180.109863,72.880004,39.32871465,15.91404731,23.41466734,55.24276195,42.38504106,38.9421381
4/5/19,1829,1838.579956,1825.189941,1837.280029,1837.280029,3640500,1808.454276,1758.195714,1649.594333,18.420044,1.012724682,18.420044,0,11.90036202,5.231105896,2.274922791,69.46492898,19.719971,9.829956,0,440.040163,158.739868,72.880004,36.07394991,16.56212549,19.51182442,52.6360754,37.06929948,39.33888081
